Scan ID,IoT Device,Request ID, Response ID, Port, Validity, Time
SCAN_1,Hikvision,REQ_1_P80,RES_3_P80,80,True,2022-05-03 19:45:03.566331
SCAN_2,Hikvision,REQ_2_P80,RES_4_P80,80,True,2022-05-03 19:45:04.304908
SCAN_3,Hikvision,REQ_3_P80,RES_5_P80,80,True,2022-05-03 19:45:05.027197
SCAN_4,Hikvision,REQ_4_P80,RES_6_P80,80,True,2022-05-03 19:45:05.746318
SCAN_5,Hikvision,REQ_5_P80,RES_7_P80,80,True,2022-05-03 19:45:06.467317
SCAN_6,Hikvision,REQ_6_P80,RES_8_P80,80,True,2022-05-03 19:45:07.191202
SCAN_7,Hikvision,REQ_7_P80,RES_9_P80,80,True,2022-05-03 19:45:07.938570
SCAN_8,Hikvision,REQ_8_P80,RES_10_P80,80,True,2022-05-03 19:45:08.659895
SCAN_9,Hikvision,REQ_9_P80,RES_11_P80,80,True,2022-05-03 19:45:09.377550
SCAN_10,Hikvision,REQ_10_P80,RES_12_P80,80,True,2022-05-03 19:45:10.103419
SCAN_11,Hikvision,REQ_11_P80,RES_13_P80,80,True,2022-05-03 19:45:10.825439
SCAN_12,Hikvision,REQ_12_P80,RES_14_P80,80,True,2022-05-03 19:45:11.567052
SCAN_13,Hikvision,REQ_13_P80,RES_15_P80,80,True,2022-05-03 19:45:12.314363
SCAN_14,Hikvision,REQ_14_P80,RES_16_P80,80,True,2022-05-03 19:45:13.043803
SCAN_15,Hikvision,REQ_15_P80,RES_17_P80,80,True,2022-05-03 19:45:13.755740
SCAN_16,Hikvision,REQ_16_P80,RES_18_P80,80,True,2022-05-03 19:45:14.480072
SCAN_17,Hikvision,REQ_17_P80,RES_19_P80,80,True,2022-05-03 19:45:15.198241
SCAN_18,Hikvision,REQ_18_P80,RES_20_P80,80,True,2022-05-03 19:45:15.928613
SCAN_19,Hikvision,REQ_19_P80,RES_21_P80,80,True,2022-05-03 19:45:16.671465
SCAN_20,Hikvision,REQ_20_P80,RES_22_P80,80,True,2022-05-03 19:45:17.390367
SCAN_21,Hikvision,REQ_21_P80,RES_23_P80,80,True,2022-05-03 19:45:18.105964
SCAN_22,Hikvision,REQ_22_P80,RES_24_P80,80,True,2022-05-03 19:45:18.807208
SCAN_23,Hikvision,REQ_23_P80,RES_25_P80,80,True,2022-05-03 19:45:19.532591
SCAN_24,Hikvision,REQ_24_P80,RES_26_P80,80,True,2022-05-03 19:45:20.266445
SCAN_25,Hikvision,REQ_25_P80,RES_27_P80,80,True,2022-05-03 19:45:20.990765
SCAN_26,Hikvision,REQ_26_P80,RES_28_P80,80,True,2022-05-03 19:45:21.716110
SCAN_27,Hikvision,REQ_27_P80,RES_29_P80,80,True,2022-05-03 19:45:22.428326
SCAN_28,Hikvision,REQ_28_P80,RES_30_P80,80,True,2022-05-03 19:45:23.144569
SCAN_29,Hikvision,REQ_29_P80,RES_31_P80,80,True,2022-05-03 19:45:23.894801
SCAN_30,Hikvision,REQ_1_P81,RES_1_P81,81,True,2022-05-03 19:45:25.303688
SCAN_31,Hikvision,REQ_2_P81,RES_2_P81,81,True,2022-05-03 19:45:26.034826
SCAN_32,Hikvision,REQ_3_P81,RES_3_P81,81,True,2022-05-03 19:45:26.745655
SCAN_33,Hikvision,REQ_4_P81,RES_4_P81,81,True,2022-05-03 19:45:27.474356
SCAN_34,Hikvision,REQ_5_P81,RES_5_P81,81,True,2022-05-03 19:45:28.182603
SCAN_35,Hikvision,REQ_6_P81,RES_6_P81,81,True,2022-05-03 19:45:28.932953
SCAN_36,Hikvision,REQ_7_P81,RES_7_P81,81,True,2022-05-03 19:45:29.651065
SCAN_37,Hikvision,REQ_8_P81,RES_8_P81,81,True,2022-05-03 19:45:30.375538
SCAN_38,Hikvision,REQ_9_P81,RES_9_P81,81,True,2022-05-03 19:45:31.093301
