ID,ADDR,VALUE,TIME
REQ_1_P81,,b'',2022-05-02 23:13:09.839256
REQ_2_P81,,"b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nUser-Agent: python-requests/2.21.0\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",2022-05-02 23:13:09.839256
REQ_3_P81,,"b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nConnection: keep-alive\r\nCache-Control: max-age=0\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: en-US,en-IN;q=0.9,en;q=0.8\r\n\r\n'",2022-05-02 23:13:09.839256
REQ_4_P81,,"b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nUser-Agent: \r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_5_P81,,"b'GET /%5ccgi-bin/get_status.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\nAccept-Language: zh-CN,en,*\r\nUser-Agent: Mozilla/5.0\r\nHost: 3.14.69.228:81\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_6_P81,,b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nAccept-Encoding: identity\r\n\r\n',2022-05-02 23:13:09.840255
REQ_7_P81,,b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nAccept-Encoding: identity\r\nConnection: keep-alive\r\n\r\n',2022-05-02 23:13:09.840255
REQ_8_P81,,"b'GET /manager/html HTTP/1.1\r\nAccept: text/html, application/xhtml+xml, */*\r\nUser-Agent: Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)\r\nHost: 3.14.69.228:81\r\nAuthorization: Basic Og==\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_9_P81,,"b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nConnection: keep-alive\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: en-US,en-IN;q=0.9,en;q=0.8\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_10_P81,,"b'GET /login.cgi HTTP/1.1\r\nHost: 3.14.69.228:81\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_11_P81,,b'GET / HTTP/1.1\r\nHost: 3.14.69.228:81\r\nUser-Agent: HTTP Banner Detection (https://security.ipip.net)\r\nConnection: close\r\n\r\n',2022-05-02 23:13:09.840255
REQ_12_P81,,b'GET / HTTP/1.1\r\nHost: 3.14.69.228:81\r\nUser-Agent: Mozilla/5.0 (compatible; Nimbostratus-Bot/v1.3.2; http://cloudsystemnetworks.com)\r\n\r\n',2022-05-02 23:13:09.840255
REQ_13_P81,,"b'GET /%5ccgi-bin/login.cgi HTTP/1.1\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\nAccept-Language: zh-CN,en,*\r\nUser-Agent: Mozilla/5.0\r\nHost: 3.14.69.228:81\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_14_P81,,"b'GET / HTTP/1.1\r\nHost: 3.14.69.228:81\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8\r\nAccept-Encoding: deflate, gzip, identity\r\nAccept-Language: en-US;q=0.6,en;q=0.4\r\nUser-Agent: Mozilla/5.0 (Windows NT 5.1; rv:9.0.1) Gecko/20100101 Firefox/9.0.1\r\n\r\n'",2022-05-02 23:13:09.840255
REQ_15_P81,,b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-02 23:13:09.840255
REQ_16_P81,"('137.184.71.144', 35306)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-03 21:55:56.277763
REQ_17_P81,"('188.166.59.99', 49090)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-03 22:26:13.001258
REQ_18_P81,"('107.182.128.55', 41440)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-03 22:27:45.363318
REQ_19_P81,"('192.241.223.44', 60640)",b'MGLNDD_54.80.75.64_81\n',2022-05-03 22:49:52.048274
REQ_20_P81,"('192.241.219.206', 44460)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:81\r\nUser-Agent: Mozilla/5.0 zgrab/0.x\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n',2022-05-10 10:27:44.834903
REQ_21_P81,"('103.162.30.245', 56352)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-10 10:59:56.042115
REQ_22_P81,"('192.241.212.209', 53562)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:81\r\nUser-Agent: Mozilla/5.0 zgrab/0.x\r\nAccept: */*\r\nAccept-Encoding: gzip\r\n\r\n',2022-05-10 12:03:45.142711
REQ_23_P81,"('188.166.59.99', 52454)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-10 12:40:15.587773
REQ_24_P81,"('164.92.87.78', 41144)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-10 15:06:11.897989
REQ_25_P81,"('45.148.10.157', 42980)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-11 00:41:29.238924
REQ_26_P81,"('103.162.30.245', 44896)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-11 08:54:47.963228
REQ_27_P81,"('147.182.135.81', 58184)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-11 09:33:18.160208
REQ_28_P81,"('2.56.59.10', 45650)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-11 10:47:29.339065
REQ_29_P81,"('188.166.59.99', 36364)",b'GET login.cgi HTTP/1.1\r\n\r\n',2022-05-11 10:55:14.677411
