SessionID,ADDR,RequestID,ResponseID,TIME,STATUS,PORT
S1,"('127.0.0.1', 3785)",REQ_31_P77547,RES_2_P80,2022-05-02 23:13:09.840255,open,
S2,"('127.0.0.1', 3785)",REQ_1_P9999,,2022-05-03 22:28:26.562644,open,
S3,"('127.0.0.1', 3786)",REQ_2_P9999,,2022-05-03 22:28:28.167991,open,
S4,"('95.234.154.62', 4094)",REQ_30_P80,RES_9_P80,2022-05-03 20:58:24.884902,closed,80
S5,"('95.234.154.62', 4095)",REQ_31_P80,RES_9_P80,2022-05-03 20:58:27.294875,closed,80
S6,"('3.19.26.92', 60407)",REQ_32_P80,RES_61_P80,2022-05-03 21:05:38.809037,closed,80
S7,"('181.40.72.94', 36860)",REQ_33_P80,RES_5_P80,2022-05-03 21:08:03.002312,closed,80
S8,"('95.234.154.62', 4339)",REQ_34_P80,RES_9_P80,2022-05-03 21:29:26.683147,closed,80
S9,"('138.246.253.24', 54776)",REQ_7_P443,RES_15_P443,2022-05-03 21:48:40.847237,open,
S10,"('192.241.220.136', 32862)",REQ_8_P443,RES_1_P443,2022-05-03 21:51:33.957305,open,
S11,"('137.184.177.40', 55926)",REQ_11_P8080,RES_24_P8080,2022-05-03 21:52:53.561286,open,
S12,"('185.254.196.115', 38912)",REQ_35_P80,RES_8_P80,2022-05-03 21:53:26.080182,closed,80
S13,"('137.184.71.144', 35306)",REQ_16_P81,RES_58_P81,2022-05-03 21:55:56.286373,open,
S14,"('213.226.123.30', 50876)",REQ_12_P8080,RES_39_P8080,2022-05-03 21:56:35.190887,open,
S15,"('213.226.123.30', 51742)",REQ_13_P8080,RES_39_P8080,2022-05-03 22:01:21.007214,open,
S16,"('213.226.123.30', 49944)",REQ_14_P8080,RES_39_P8080,2022-05-03 22:12:07.173171,open,
S17,"('157.230.216.203', 46488)",REQ_36_P80,RES_387_P80,2022-05-03 22:12:14.043358,closed,80
S18,"('157.230.216.203', 46516)",REQ_37_P80,RES_387_P80,2022-05-03 22:12:14.068992,closed,80
S19,"('213.226.123.30', 42962)",REQ_15_P8080,RES_39_P8080,2022-05-03 22:14:36.409408,open,
S20,"('212.102.58.164', 43358)",REQ_9_P443,RES_18_P443,2022-05-03 22:16:35.585158,open,
S21,"('212.102.58.164', 58858)",REQ_10_P443,RES_18_P443,2022-05-03 22:17:25.683185,open,
S22,"('212.102.58.164', 47926)",REQ_11_P443,RES_18_P443,2022-05-03 22:25:15.509910,open,
S23,"('188.166.59.99', 49090)",REQ_17_P81,RES_65_P81,2022-05-03 22:26:13.005289,open,
S24,"('3.145.57.222', 59476)",REQ_38_P80,RES_740_P80,2022-05-03 22:26:37.942304,closed,80
S25,"('3.145.57.222', 55852)",REQ_39_P80,RES_740_P80,2022-05-03 22:26:54.123227,closed,80
S26,"('3.145.57.222', 55969)",REQ_40_P80,RES_740_P80,2022-05-03 22:27:10.111316,closed,80
S27,"('212.102.58.164', 41360)",REQ_12_P443,RES_18_P443,2022-05-03 22:27:42.834348,open,
S28,"('107.182.128.55', 41440)",REQ_18_P81,RES_29_P81,2022-05-03 22:27:45.367199,open,
S29,"('212.102.58.164', 57524)",REQ_13_P443,RES_18_P443,2022-05-03 22:33:15.839985,open,
S30,"('192.241.222.228', 37614)",REQ_41_P80,RES_296_P80,2022-05-03 22:43:11.977144,open,
S31,"('35.88.195.237', 60505)",REQ_42_P80,RES_131_P80,2022-05-03 22:49:48.436049,closed,80
S32,"('192.241.223.44', 60640)",REQ_19_P81,RES_91_P81,2022-05-03 22:49:52.053075,open,
S33,"('45.63.12.50', 56504)",REQ_14_P443,RES_2_P443,2022-05-03 22:53:36.395207,open,
S34,"('104.152.52.151', 58728)",REQ_43_P80,RES_666_P80,2022-05-03 22:58:59.824135,closed,80
S35,"('104.152.52.151', 58728)",REQ_15_P443,RES_20_P443,2022-05-03 22:59:32.477846,open,
S36,"('104.152.52.151', 58728)",REQ_16_P8080,RES_22_P8080,2022-05-03 22:59:58.880730,open,
S37,"('192.241.221.141', 41972)",REQ_16_P443,RES_23_P443,2022-05-03 23:02:07.708594,open,
S38,"('45.56.109.77', 61000)",REQ_17_P443,RES_19_P443,2022-05-03 23:09:29.266923,open,
S39,"('157.245.176.143', 35488)",REQ_18_P443,RES_12_P443,2022-05-03 23:14:39.346412,open,
S40,"('185.254.196.115', 52144)",REQ_44_P80,RES_8_P80,2022-05-03 23:19:02.836144,closed,80
S41,"('193.46.255.49', 39781)",REQ_19_P443,RES_8_P443,2022-05-03 23:22:41.853330,open,
S42,"('193.46.255.49', 45294)",REQ_45_P80,RES_561_P80,2022-05-03 23:22:42.017248,closed,80
S43,"('45.61.187.129', 40320)",REQ_17_P8080,RES_29_P8080,2022-05-03 23:35:29.974461,open,
S44,"('212.102.58.164', 45222)",REQ_20_P443,RES_18_P443,2022-05-03 23:40:13.316127,open,
S45,"('212.102.58.164', 40718)",REQ_21_P443,RES_18_P443,2022-05-03 23:41:06.004164,open,
S46,"('94.182.51.146', 57799)",REQ_18_P8080,RES_20_P8080,2022-05-03 23:42:42.695598,open,
S47,"('212.102.58.164', 49460)",REQ_22_P443,RES_18_P443,2022-05-03 23:56:17.314205,open,
S48,"('212.102.58.164', 52198)",REQ_23_P443,RES_18_P443,2022-05-03 23:59:19.178839,open,
